Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
03/27/26,119.84,8112912,2.84,2.43,2.43,161.76,94.97,117.10,121.46,116.50,44.44
03/26/26,117.00,3403145,0.63,0.54,0.54,157.93,90.35,115.88,118.35,115.69,41.01
03/25/26,116.37,4407977,0.45,0.39,0.39,157.08,89.32,117.50,117.65,114.69,40.26
03/24/26,115.92,4991742,0.99,0.86,0.86,156.47,88.59,113.82,116.05,113.01,39.71
03/23/26,114.93,6381919,1.67,1.47,1.47,155.14,86.98,114.63,116.49,114.01,38.52
03/20/26,113.26,19717450,-1.21,-1.06,-1.06,152.88,84.26,114.00,115.27,112.69,36.51
03/19/26,114.47,6549613,-0.58,-0.50,-0.50,154.52,86.23,114.66,116.09,113.42,37.97
03/18/26,115.05,5267451,-1.71,-1.46,-1.46,155.30,87.17,116.52,117.37,114.79,38.66
03/17/26,116.76,4347536,-0.29,-0.25,-0.25,157.61,89.96,117.51,118.46,116.16,40.73
03/16/26,117.05,4858546,-0.29,-0.25,-0.25,158.00,90.43,118.00,118.45,116.00,41.08
03/13/26,117.34,5282631,1.59,1.37,1.37,158.39,90.90,116.40,117.89,115.56,41.42
03/12/26,115.75,6215334,-3.03,-2.55,-2.55,156.24,88.31,117.43,117.91,115.19,39.51
03/11/26,118.78,4422332,-1.96,-1.62,-1.62,160.33,93.24,120.33,121.26,118.50,43.16
03/10/26,120.74,4400011,0.60,0.50,0.50,162.98,96.43,119.49,122.47,118.57,45.52
03/09/26,120.14,6005492,-0.65,-0.54,-0.54,162.17,95.46,118.66,120.16,115.75,44.80
03/06/26,120.79,5979671,0.43,0.36,0.36,163.05,96.51,119.17,120.79,117.00,45.58
03/05/26,120.36,7130940,0.28,0.23,0.23,162.47,95.81,119.77,120.88,118.09,45.06
03/04/26,120.08,9496020,-0.72,-0.60,-0.60,162.09,95.36,123.96,126.00,119.89,44.73
03/03/26,120.80,15692200,7.63,6.74,6.74,163.06,96.53,116.01,122.43,115.00,45.59
03/02/26,113.17,6301850,-0.62,-0.54,-0.54,152.76,84.12,111.84,114.38,111.25,36.40
02/27/26,113.79,6417010,-1.00,-0.87,-0.87,153.60,85.12,113.00,113.88,111.11,37.15
02/26/26,114.79,5930323,-1.65,-1.42,-1.42,154.95,86.75,117.48,118.70,113.96,38.35
02/25/26,116.44,4522055,0.92,0.80,0.80,157.17,89.44,115.75,116.48,114.61,40.34
02/24/26,115.52,4977552,2.18,1.92,1.92,155.93,87.94,113.40,115.58,113.40,39.23
02/23/26,113.34,7924830,-3.35,-2.87,-2.87,152.99,84.39,116.08,116.72,112.81,36.60
02/20/26,116.69,6285894,1.03,0.89,0.89,157.51,89.84,115.27,118.98,114.45,40.64
02/19/26,115.66,3631511,,,,156.12,88.17,115.20,116.26,114.62,39.40
02/18/26,115.66,5608103,-0.88,-0.76,-0.76,156.12,88.17,115.75,116.83,114.75,39.40
02/17/26,116.54,6258939,0.78,0.67,0.67,157.31,89.60,116.90,118.38,114.19,40.46
02/13/26,115.76,6597145,3.07,2.72,2.72,156.26,88.33,113.41,116.15,112.62,39.52
02/12/26,112.69,5588428,-1.92,-1.68,-1.68,152.11,83.33,114.98,116.37,111.86,35.82
02/11/26,114.61,6611961,1.38,1.22,2.23,154.70,86.46,112.94,114.78,112.31,38.13
02/10/26,113.23,4955185,-2.29,-1.98,-1.98,151.34,82.40,115.50,117.17,113.15,36.47
02/09/26,115.52,4507549,-0.03,-0.03,-0.03,154.40,86.09,115.27,116.20,113.73,39.23
02/06/26,115.55,7804406,4.70,4.24,4.24,154.44,86.14,111.57,115.82,111.57,39.27
02/05/26,110.85,6081531,-3.28,-2.87,-2.87,148.16,78.57,114.13,114.77,110.34,33.60
02/04/26,114.13,9816196,2.83,2.54,2.54,152.54,83.85,112.55,114.88,112.27,37.56
02/03/26,111.30,8373411,1.77,1.62,1.62,148.76,79.29,109.89,112.96,109.59,34.14
02/02/26,109.53,10561550,4.06,3.85,3.85,146.39,76.44,104.93,109.91,103.68,32.01
01/30/26,105.47,6181799,2.63,2.56,2.56,140.96,69.90,102.84,105.51,102.36,27.12
01/29/26,102.84,6015154,1.10,1.08,1.08,137.45,65.66,102.41,103.27,101.32,23.95
01/28/26,101.74,4644360,-2.36,-2.27,-2.27,135.98,63.89,104.00,104.18,100.88,22.62
01/27/26,104.10,4578858,0.14,0.13,0.13,139.13,67.69,104.35,104.82,103.19,25.47
01/26/26,103.96,6709801,-4.14,-3.83,-3.83,138.95,67.47,108.03,108.49,103.61,25.30
01/23/26,108.10,4594123,1.60,1.50,1.50,144.48,74.14,106.36,108.33,106.10,30.29
01/22/26,106.50,4904276,0.46,0.43,0.43,142.34,71.56,106.58,106.81,104.80,28.36
01/21/26,106.04,6547286,-3.30,-3.02,-3.02,141.73,70.82,108.61,110.25,104.89,27.81
01/20/26,109.34,9556628,-1.94,-1.74,-1.74,146.14,76.13,110.02,110.66,107.43,31.78
01/16/26,111.28,5253188,0.15,0.13,0.13,148.73,79.26,110.84,111.75,110.18,34.12
01/15/26,111.13,5827160,1.31,1.19,1.19,148.53,79.02,110.07,111.86,108.40,33.94
01/14/26,109.82,5886151,1.19,1.10,1.10,146.78,76.91,108.57,110.64,108.18,32.36
01/13/26,108.63,7742258,2.49,2.35,2.35,145.19,74.99,108.50,109.95,107.96,30.93
01/12/26,106.14,5893399,0.62,0.59,0.59,141.86,70.98,105.58,106.85,103.16,27.93
01/09/26,105.52,6490433,-0.81,-0.76,-0.76,141.03,69.98,105.63,107.30,104.14,27.18
01/08/26,106.33,8568630,2.66,2.57,2.57,142.11,71.28,103.13,108.64,102.68,28.15
01/07/26,103.67,4686178,-0.63,-0.60,-0.60,138.56,67.00,104.30,104.66,102.49,24.95
01/06/26,104.30,7699831,2.20,2.15,2.15,139.40,68.01,102.10,104.85,101.59,25.71
01/05/26,102.10,7421165,1.59,1.58,1.58,136.46,64.47,100.40,103.26,99.90,23.06
01/02/26,100.51,7064444,2.76,2.82,2.82,134.34,61.91,97.91,101.00,97.07,21.14
12/31/25,97.75,4290055,0.32,0.33,0.33,130.65,57.46,97.41,98.44,97.20,17.81
12/30/25,97.43,3686881,-0.67,-0.68,-0.68,130.22,56.95,97.88,97.99,97.06,17.43
12/29/25,98.10,8836957,-1.45,-1.46,-1.46,131.11,58.03,99.46,100.24,97.71,18.24
12/26/25,99.55,10644130,3.02,3.13,3.13,133.05,60.36,96.58,103.03,96.54,19.98
12/24/25,96.53,3299500,2.23,2.36,2.36,129.02,55.50,94.61,96.60,94.18,16.34
12/23/25,94.30,7975887,-0.90,-0.95,-0.95,126.04,51.91,95.25,95.38,93.77,13.66
12/22/25,95.20,11985240,-2.81,-2.87,-2.87,127.24,53.35,97.95,98.34,94.78,14.74
12/19/25,98.01,12620410,-1.04,-1.05,-1.05,130.99,57.88,98.90,99.45,96.55,18.13
12/18/25,99.05,9594235,0.45,0.46,0.46,132.38,59.56,98.60,101.99,98.56,19.38
12/17/25,98.60,6830421,0.93,0.95,0.95,131.78,58.83,97.00,98.62,95.15,18.84
12/16/25,97.67,5142540,0.11,0.11,0.11,130.54,57.33,97.89,98.52,97.05,17.72
12/15/25,97.56,5730084,0.47,0.48,0.48,130.39,57.16,97.56,97.93,96.31,17.58
12/12/25,97.09,5260239,0.12,0.12,0.12,129.76,56.40,97.25,98.20,96.25,17.02
12/11/25,96.97,6812931,2.35,2.48,2.48,129.60,56.21,94.78,97.18,94.78,16.87
12/10/25,94.62,8444741,1.00,1.07,1.07,126.46,52.42,93.87,95.40,92.94,14.04
12/09/25,93.62,4650499,0.56,0.60,0.60,125.13,50.81,92.51,93.98,92.31,12.84
12/08/25,93.06,7694678,0.87,0.94,0.94,124.38,49.91,92.61,93.71,90.90,12.16
12/05/25,92.19,5898896,0.60,0.66,0.66,123.22,48.51,91.55,92.69,90.85,11.11
12/04/25,91.59,6759383,0.67,0.74,0.74,122.41,47.54,91.17,92.20,90.17,10.39
12/03/25,90.92,7308436,0.45,0.50,0.50,121.52,46.46,90.67,92.91,90.60,9.58
12/02/25,90.47,5863803,-0.89,-0.97,-0.97,120.92,45.74,91.75,91.75,89.36,9.04
12/01/25,91.36,6570553,0.74,0.82,0.82,122.11,47.17,90.40,93.11,90.14,10.11
11/28/25,90.62,4058992,0.82,0.91,0.91,121.12,45.98,90.28,91.70,89.87,9.22
11/26/25,89.80,7927569,3.22,3.72,3.72,120.02,44.66,86.68,90.23,86.61,8.23
11/25/25,86.58,6520053,2.04,2.41,2.41,115.72,39.47,84.99,86.63,84.73,4.35
11/24/25,84.54,9227308,-3.08,-3.52,-3.52,112.99,36.18,87.63,87.98,84.52,1.89
11/21/25,87.62,12573880,3.94,4.71,4.71,117.11,41.14,84.44,88.98,84.24,5.60
11/20/25,83.68,12051780,-2.40,-2.79,-2.79,111.84,34.80,86.16,86.93,83.44,0.86
11/19/25,86.08,18972020,-2.45,-2.77,-2.77,115.05,38.66,86.42,89.62,85.30,3.75
11/18/25,88.53,10063380,0.05,0.06,0.06,118.32,42.61,87.84,90.02,87.62,6.70
11/17/25,88.48,7549384,-1.42,-1.58,-1.58,118.26,42.53,89.52,90.26,88.23,6.64
11/14/25,89.90,6096943,-0.72,-0.79,-0.79,120.15,44.82,89.99,91.11,89.41,8.35
11/13/25,90.62,6303511,-1.29,-1.40,-1.40,121.12,45.98,91.81,92.62,90.41,9.22
11/12/25,91.91,5512363,0.33,0.36,1.61,122.84,48.06,91.77,92.60,91.11,10.77
11/11/25,91.58,4762908,0.85,0.94,0.94,120.90,45.72,91.38,92.13,90.94,10.38
11/10/25,90.73,6299898,-0.51,-0.56,-0.56,119.78,44.36,91.82,93.43,89.92,9.35
11/07/25,91.24,6524897,2.09,2.34,2.34,120.45,45.18,89.15,91.58,89.15,9.97
11/06/25,89.15,7051541,-2.79,-3.03,-3.03,117.69,41.85,91.79,92.71,88.48,7.45
11/05/25,91.94,8215290,1.96,2.18,2.18,121.38,46.29,89.83,93.26,89.02,10.81
11/04/25,89.98,5057365,-1.47,-1.61,-1.61,118.79,43.17,90.88,91.29,89.75,8.45
11/03/25,91.45,5698075,-1.27,-1.37,-1.37,120.73,45.51,92.61,92.66,90.90,10.22
10/31/25,92.72,7084802,-0.20,-0.22,-0.22,122.41,47.53,92.55,93.04,91.51,11.75
10/30/25,92.92,5631171,-1.20,-1.27,-1.27,122.67,47.85,93.31,94.63,92.66,11.99
10/29/25,94.12,6125647,-2.99,-3.08,-3.08,124.25,49.76,96.52,97.07,94.03,13.44
10/28/25,97.11,7959604,-0.66,-0.68,-0.68,128.20,54.52,97.52,99.49,96.41,17.04
10/27/25,97.77,10000010,3.51,3.72,3.72,129.07,55.57,95.25,97.91,94.95,17.84
10/24/25,94.26,5458994,0.01,0.01,0.01,124.44,49.98,94.86,95.61,93.92,13.61
10/23/25,94.25,4833358,0.23,0.24,0.24,124.43,49.96,94.07,95.03,92.96,13.60
10/22/25,94.02,4972951,-0.38,-0.40,-0.40,124.12,49.60,94.29,94.73,93.45,13.32
10/21/25,94.40,7770113,2.87,3.14,3.14,124.62,50.20,91.88,94.55,91.74,13.78
